# type|id|name|aliases|scope
# Public, low-risk base nodes
person|kamiya-pua|かみや|kamiya_pua|real
person|makoto-pua|伊藤誠@100即達成した男|makoto__pua|real
person|emu-pua|エム|emu_pua|real
person|pineapple-pua|故G|pineapple_pua|real
person|nami-pua|なみへい👴脱非モテ|nami__pua|real
person|kanipe-pua|再起のかにっぺ|kanipe_pua|real
person|mina-pua|みな|mina__pua|real
person|pua-co|こなんぱん┃24hいつでも現場合流|pua_co|real
person|roco-neko|ろこ🐈‍⬛|roco_neko_|real
person|roco-neko-ura|黒ろこ|roco_neko_ura|real
person|chiroru-pua|🧀|chiroru_pua_|real
person|yokono-pua|横野|yokono_pua|real
person|scream-pua|シュークリーム|scream_pua|real
person|karon-pua|カロン@RiseUpLab|karon121_pua|real
person|asumi-pua|あすみ@東京ストナン会|asumi_pua|real
person|taku-pua|たく@東京ストナン会|taku__pua|real
person|nampa1998|n@東京ストナン会|nampa1998|real
person|puriketsu-nnp|ぷりけつ@東京ストナン会|puriketsu_nnp|real
person|ururunpua|うるるん|ururunpua|real
person|motebody-pua|エース@体刺し一門関東代表|motebody_pua|real
person|girl-pua|Cherry🍒|girl_pua|real
person|saku-pua|桜井@東京ストナン会|saku_pua|real
person|doronpa-pua|ドロソパ|doronpa_pua|real
person|riku-pua0801|リク@ナノ講習|riku_pua0801|real
person|ale-puapua|えーる|ale_puapua|real
person|rojou-ski|たくぽよ|rojou_ski|real
person|jaws-girlhunter|鮫|jaws_girlhunter|real
person|ryuse-pua|あらまき@RiseUpLab|ryuse_pua|real
person|krazypua|ひのまる@面長一門@(女友達いない系)女性脳|krazypua|real
person|naruto-nanpa|無料ナンパ講習塾教室。イルカ先生。本日講習予定135※念のためdmと返信を両方お願いします|naruto_nanpa|real
person|pua-kk|こなん┃Z世代hunter|pua_kk_|real
person|negitoro-nannpa|苦役列車ねぎとろ@MBH面平良一門 4月頑張る一門|negitoro_nannpa|real
person|moviefoodfc2|スティッチ@RiseUpLab|moviefoodfc2|real
person|ryu-8585|りゅ@高校生pua|ryu_8585_|real
person|komanyan28|K0MA@ｹﾝﾁﾝの意思を継ぐもの|komanyan28|real
person|chamuranaoto|こいち @東京ストナン会×ジェイソン|chamuranaoto|real
person|so-pua|レオン@東京ストナン会|so_pua|real
person|one-sith-pua|シス|one_sith_pua|real
person|shu-pua|しゅーつー|shu_pua|real
person|jiro-suto|ジロー@清湯醤油ラーメン|jiro_suto|real
person|mechinanpa|めち|mechinanpa|real
person|chiroru-pua-main|チロル|chiroru_pua|real
person|liberty-pai|らいりー|liberty_pai|real
person|to-suto-tore|トレード@東京ストナン会|to_suto_tore|real
person|zushi-tokyo|ズシ@MBH|zushi_tokyo|real
person|utopua2|ゆーとぴあ@えるスタ|utopua2|real
person|molmol-1919|もる|molmol1919|real
person|daruma-nnp|達磨（ダルマ）|daruma_nnp|real
person|hikosan-nn|英彦（ひこ）⛰️|hikosan_nn|real
person|seiyoku-genkai|クノカー|seiyoku_genkai|real
person|nampa-mimato|みなと Vさん 1ヶ月チャレンジ|nampa_mimato|real
person|sei-pua1|せいや|sei_pua1|real
person|mentai-nanpa|いためん@GW5/1火の国|mentai_nanpa|real
person|mote-hair00|モテ界隈特化美容師 えーちゃん|mote_hair00|real
person|sorakaze12|そらじろ⛓|sorakaze12|real
person|gaijiasupeman|※純※ @ユウ長期|gaijiasupeman|real
person|tinder109|はち.(40代)|tinder109|real
person|hachi-tinder02|はちサブ|hachi_tinder02|real
person|salmon-nnp|サ モ👑🐟Lv72@MBH/底辺ジジイ一門の長、麺平良一門の長|salmon_nnp|real
person|juju-pua|鬼無血|juju_pua|real
person|suto-taro|東カレ太郎@Another、体刺し一門|suto_taro|real
person|neru-pua|ねる@ゆってぃ長期11期生|neru_pua|real
person|nanpashi-miffy|みっふぃ🐇|nanpashi_miffy|real
person|seizitunanpa|ナッチョ|seizitunanpa|real
person|paaman-pua|ぱーまん@ゆ-10|paaman_pua|real
person|resunnme|レジュメ@2期生|resunnme|real
person|maruoooon-pua|まる113lv.@MBH|maruoooon_pua|real
person|tsunada-pua|つなだ|tsunada_pua|real
person|knk-stnn|🇰🇷(路上)|knk_stnn|real
person|minamu-nanpa|ミナム【670部】突破『ミナム式』直ホの極意発売中🔥|minamu_nanpa|real
person|deisui-pua|泥酔くん アジー欲しい人DM|deisui_pua|real
person|nannpashitai|mi|nannpashitai|real
person|oscal-pua|OS@アツスト/𝒄𝒉𝒆𝒆𝒔𝒆 𝒃𝒆𝒆𝒇 𝒃𝒐𝒚|oscal_pua|real
person|kazu-pua|おちゃめ＠wing長期✖️アツストサロン|kazu_pua|real
person|uraca-pua|うらか|uraca_pua|real
person|kamiyoshi-nanpa|神吉|kamiyoshi_nanpa|real
person|miraitinder6969|みらい🚂|miraitinder6969|real
person|miraitinder4545|みらい🚂＠裏垢|miraitinder4545|real
person|nn-nn-nn1001|筋肉マン|nn_nn_nn1001|real
person|nekominto-pua|ネコミント@おいでよナンパ界隈bot（人力）|nekominto_pua|real
person|carbii-pua|カービィ|carbii_pua|real
person|ryuuk-pua|りゅーく|ryuuk_pua|real
person|west-pua|ウエスト@留年ポチャマ講習|west_pua|real
person|tomo-pua11|どろんこ@りゅうの弟子2号@しえる一門2番隊隊長|tomo_pua11|real
person|senga-pua|千賀|senga_pua|real
person|kill-pua|キルア⚡️|kill_pua|real
person|sandarupua|サンダル|sandarupua|real
person|mizuno-qreep|ミズノ|mizuno_qreep|real
person|nanpaoh-yuya|☚33歳リアルガチナンパ師 ゆ うや|nanpaoh_yuya|real
person|isagi-pua|潔|isagi_pua|real
person|utaa-pua|うた|utaa_pua|real
person|anus-pua|アーニャル|anus_pua|real
person|shuri-pua|しゅり@外見コンサル-Imagine-|shuri_pua|real
person|mafty-nanpa|マフティ|mafty_nanpa|real
person|marifax-pua|まり@ポチャマ留年講習|marifax_pua|real
person|nanpa-doraemon|ドラえもん|nanpa_doraemon|real
person|himotenohoshi|ユウ@東カレの王👑|himotenohoshi|real
person|pochama-tuwaou|ポチャマ|pochama_tuwaou|real
person|pochama-izon|裏ポチャマ|pochama_izon|real
person|bluexxxpua|あおとり|bluexxxpua|real
person|slinky-pua|すりんきー|slinky_pua|real
person|bale-pua|米流|bale_pua|real
person|kazunanpa|わかしゃも🔥@ゆってぃ長期1期生|kazunanpa|real
person|kazunanpa2|ワカシャモ🔥のレポ垢|kazunanpa2|real
person|mantis-pua|かまきりpua|mantis_pua|real
person|matchingmomonga|えろんが@東カレ弱者|matchingmomonga|real
person|doc-mote|ドク🎩|doc_mote|real
person|tantan-pua|しおたん|tantan_pua_|real
person|tantan-ura|しおたんサブ|tantan_ura__|real
person|kayakkupua|カヤック|kayakkupua|real
person|kayakkupuasub|カヤさぶ|kayakkupuasub|real
person|konkatsu-nanpa|なぎさ＠ゆってぃ長期4期生＆ネクステ2期生＆S1講習|konkatsu_nanpa|real
person|gamupua|ガム|gamupua|real
person|streets-bach|バッハ@のんちゃま一門 散歩部部長×スト値上げ部 監督|streets_bach|real
person|bach-sokuhou|バッハ福田麻呂@サブ垢|bach_sokuhou|real
person|rockpua-sub|リー|rockpua_sub|real
person|reborn-pua|リボーン@ゆってぃ長期12期生|reborn_pua|real
person|ura-aka-nanpa|ナンパ師んぽくぬ|ura_aka_nanpa|real
person|nanpanyan4545|打ち上げ花火@ゆってぃ長期8期生|nanpanyan4545|real
person|kukuru-nanpa|くくる@トク🐉一門|kukuru_nanpa|real
person|shelly4821|シェリー／マッチングアプリカメラマン|shelly4821|real
person|motezoh-biz|AIマーケターもてゾウ｜FFFの民🐟|motezoh_biz|real
person|chikio-nmp|もてゾウ|chikio_NMP|real
person|asahilove77|あさひ@ゆってぃ長期12期生|asahilove77|real
person|nagi-nanpa0922|なぎ@ゆってぃ長期9期生|nagi_nanpa0922|real
person|gatiikepua|裏シンバ|gatiikepua|real
person|simba-pua|シンバ|Simba_pua|real
person|efu-pua|ナン趣味くん🫓|efu_pua|real
person|anshin-pua|あんしん|anshin__pua|real
person|rui0808-pua|ルイ|rui0808_pua|real
person|clark-pua|クラーク@ジュルマ一門|clark_pua|real
person|syou-nanpa|SYOU|SYOUnanpa|real
person|s-pua0213|しんご@かいじ講習|s_pua0213|real
person|kkk-pua|レン@pua|kkk_pua|real
person|pua-rusu|るす@インスタナンパの人|pua_rusu|real
person|siofkn-pua|SIOFKN シオフキン🧂@SSB|siofkn_pua|real
person|asahi-sao-pua|朝日 竿@ネクステ|asahi_sao_pua|real
person|vo-nampa|ナンパのボーさん|vo_nampa|real
person|nampakago|ゆー@涼介長期講習生|nampakago|real
person|ryosuke-street2|涼介|ryosuke_street2|real
person|toushirou-app|冬獅郎@チャットアプリ戦略家|toushirou_app|real
person|nagasanpua|ナーガ@SHSM2024幹事|nagasanpua|real
